[1]	[1]	19583
[1]	[48]	17452
[41]	[1]	16850
[1]	[32]	15622
[41]	[37]	15584
[1]	[37]	14537
[41]	[32]	14261
[1]	[45]	14181
[41]	[48]	12927
[41]	[45]	12770
[1;16]	[32]	12129
[1]	[41]	12004
[1;16]	[1]	11960
[41]	[22]	11752
[1;16]	[48]	11152
[1;16]	[37]	10401
[1]	[22]	10075
[1]	[17]	9546
[41]	[17]	8916
[1;16]	[5]	8660
[1]	[10]	8636
[1;16]	[22]	8412
[41]	[41]	8147
[41]	[2]	7526
[41]	[34]	7456
[41]	[36]	7206
[1]	[34]	7187
[1]	[36]	7128
[1;16]	[45]	6832
[41]	[3]	6815
[3]	[1]	6467
[1]	[42]	6321
[2]	[48]	6152
[1]	[40]	5937
[2]	[32]	5903
[1]	[46]	5895
[1;16]	[17]	5753
[3]	[48]	5729
[10]	[32]	5728
[2]	[37]	5704
[2]	[1]	5657
[41]	[5]	5617
[41]	[46]	5559
[1;16]	[41]	5545
[10]	[48]	5383
[10]	[37]	5174
[41]	[42]	5144
[3]	[32]	5116
[1]	[43]	5093
[41]	[10]	5089
[2]	[45]	4964
[3]	[45]	4652
[1;16]	[36]	4651
[3]	[37]	4586
[41]	[40]	4567
[10]	[45]	4560
[32]	[32]	4411
[1;16]	[46]	4309
[1]	[2]	4189
[3]	[22]	4174
[1]	[49]	4162
[1;16]	[34]	4054
[32]	[1]	4034
[32]	[37]	3925
[32]	[48]	3871
[2]	[22]	3807
[10]	[22]	3763
[1;16]	[40]	3718
[10]	[1]	3668
[2;16]	[32]	3657
[3]	[41]	3625
[1]	[19]	3578
[1]	[3]	3573
[2;16]	[48]	3569
[32]	[45]	3566
[2;16]	[22]	3558
[1]	[5]	3557
[41]	[43]	3551
[41]	[19]	3521
[2]	[41]	3495
[2]	[17]	3415
[10]	[36]	3409
[10]	[41]	3397
[1;16]	[42]	3374
[10]	[17]	3257
[3]	[36]	3209
[3]	[17]	3204
[1]	[39]	3184
[2]	[34]	3180
[1]	[24]	3097
[41]	[49]	3072
[1;16]	[43]	3052
[41]	[39]	3043
[41]	[24]	3000
[2;16]	[37]	2860
[10]	[34]	2809
[2]	[36]	2753
[2]	[10]	2602
[32]	[22]	2594
[3]	[42]	2579
[32]	[17]	2509
[1]	[35]	2485
[32]	[41]	2476
[1;16]	[3]	2467
[3]	[34]	2438
[1;16]	[10]	2438
[3]	[10]	2436
[1;16]	[49]	2379
[36]	[1]	2337
[10]	[42]	2332
[5]	[48]	2291
[2]	[40]	2246
[2]	[46]	2195
[3]	[5]	2185
[36]	[37]	2171
[2]	[42]	2122
[3]	[3]	2052
[5]	[32]	2048
[36]	[48]	2042
[32]	[36]	2013
[3]	[46]	1991
[2;16]	[45]	1970
[2]	[43]	1950
[5]	[45]	1929
[10]	[46]	1922
[1;16]	[39]	1915
[41]	[35]	1870
[5]	[1]	1844
[1;16]	[24]	1842
[36]	[22]	1840
[2]	[3]	1823
[1;16]	[19]	1806
[1]	[44]	1795
[32]	[34]	1765
[36]	[32]	1763
[36]	[45]	1762
[10]	[40]	1737
[32]	[46]	1734
[5]	[37]	1722
[2]	[5]	1703
[3]	[40]	1673
[10]	[43]	1667
[11;16]	[22]	1596
[41]	[44]	1594
[32]	[10]	1526
[32]	[42]	1517
[2]	[49]	1507
[11;16]	[48]	1495
[2;16]	[17]	1473
[3;16]	[48]	1451
[3]	[2]	1430
[32]	[3]	1420
[2;16]	[41]	1417
[5]	[41]	1370
[3]	[43]	1359
[32]	[40]	1357
[1;16]	[35]	1352
[5]	[17]	1325
[2]	[19]	1325
[36]	[17]	1270
[2;16]	[36]	1252
[11;16]	[1]	1247
[10]	[49]	1203
[2]	[39]	1194
[32]	[2]	1191
[36]	[34]	1172
[10]	[39]	1168
[2]	[2]	1146
[32]	[5]	1145
[3;16]	[32]	1145
[3;16]	[22]	1133
[32]	[39]	1113
[3]	[49]	1112
