ixam	m. sg. i.			142
Xarma	m. sg. acc.			142
smqwa	n. sg. nom.	smq	pp.	141
wax	n. sg. g.			140
xeva	m. sg. acc.			140
vAyu	m. sg. nom.			139
buxXi	f. sg. nom.			139
viRNu	m. sg. nom.			138
uwwama	n. sg. nom.			137
snAwvA	abs.	snA		137
mahaw	n. sg. acc.			137
karman	n. sg. nom.			137
vqw	pr. [1] md. sg. 3			135
yayAwi	m. sg. nom.			134
xqS	pr. [4] ac. sg. 3			134
xivya	n. sg. nom.			134
xawwvA	abs.	xA		134
Awman	m. sg. nom.			134
jFAna	n. sg. nom.			133
BUyas	adv.			133
yax	m. sg. i.			132
sWiwa	m. sg. nom.	sWA	pp.	132
gawvA	abs.	gam		132
wax	n. sg. loc.			131
kq	pr. [8] ac. sg. 3			131
BU	aor. [1] ac. sg. 3			131
anya	m. sg. nom.			131
BUwa	n. pl. g.		pp.	130
wIrWa	n. sg. loc.			129
gawi	f. sg. acc.			129
brAhmaNa	m. pl. nom.			129
para	m. sg. nom.			128
parama	n. sg. nom.			127
pANdava	m. pl. nom.			127
ixam	m. sg. loc.			127
gam	pr. [1] ac. sg. 3			127
hari	m. sg. nom.			126
xevI	f. sg. voc.			126
yA	pr. [2] ac. sg. 3			125
brU	imp. [2] ac. sg. 2			125
sarvawra	adv.			124
ewax	f. sg. nom.			124
wax	m. pl. loc.			122
wvax	* sg. acc.			121
nqpa	m. sg. voc.			121
guru	m. sg. nom.			121
bahu	m. pl. nom.			121
ixam	m. pl. g.			120
viS	f. pl. g.			119
xroNa	m. sg. nom.			119
Pala	n. sg. acc.			118
kila	part.			118
kAla	m. sg. nom.			118
Sara	m. pl. i.			117
pawi	m. sg. voc.			117
jFAwvA	abs.	jFA		117
Bavaw	m. sg. nom.			116
inxra	m. sg. nom.			115
wax	m. pl. i.			114
rAjan	m. sg. g.			113
puwra	m. pl. nom.			113
mA	part.			113
ixam	m. sg. acc.			113
xeva	m. pl. g.			112
brahman	m. sg. g.			112
vAsuxeva	m. sg. nom.			111
vana	n. sg. loc.			111
yuXiRTira	m. sg. voc.			110
yax	n. sg. i.			110
wIrWa	n. sg. nom.			110
xqS	pft. ac. sg. 3			110
Bakwi	f. sg. i.			110
as	opt. [2] ac. pl. 3			110
paS	imp. [4] ac. sg. 2			108
sarvaxA	adv.			107
eka	m. sg. acc.			107
xevI	f. sg. nom.			107
yukwa	m. sg. nom.	yuj	pp.	106
para	n. sg. acc.			106
para	m. sg. acc.			106
janamejaya	m. sg. nom.			106
BUmi	f. sg. loc.			106
yax	n. pl. nom.			105
yax	m. sg. acc.			105
vara	m. sg. acc.			105
piwq	m. sg. g.			105
karwavya	n. sg. nom.	kq	pfp. [3]	105
sAkRAw	adv.			104
kq	pft. ac. sg. 3			104
BU	f. sg. loc.			104
SreRTa	m. sg. nom.			103
sahasraSas	adv.			103
rasa	m. sg. nom.			103
Ap	pr. [5] ac. sg. 3			103
anyawra	adv.			103
yuXiRTira	m. sg. nom.			102
parama	n. sg. acc.			102
yuX	f. sg. loc.			101
vix	imp. [2] ac. sg. 2			101
qwe	prep.			101
puwra	m. sg. acc.			101
pUjay	opt. [10] ac. sg. 3			101
xuryoXana	m. sg. nom.			101
BIma	m. sg. nom.			101
Suci	m. sg. nom.			100
Sabxa	m. sg. nom.			100
piwAmaha	m. sg. nom.			100
wax	m. sg. dat.			99
smqwa	m. pl. nom.	smq	pp.	99
Sakra	m. sg. nom.			99
kAFcana	n. sg. nom.			99
guNa	m. pl. nom.			99
yuxXa	n. sg. nom.		pp.	98
viXi	m. sg. i.			98
uwwama	n. sg. acc.			98
pA	opt. [1] ac. sg. 3			98
wejas	n. sg. i.			97
prokwa	n. sg. nom.	pravac	pp.	97
sarva	f. pl. nom.			96
saxyas	adv.			96
