brahman	n. sg. nom.			387
Pala	n. sg. acc.			387
xuryoXana	m. sg. nom.			387
maXya	n. sg. loc.			385
aWavA	ind.			382
anya	n. sg. nom.			381
ixam	m. sg. i.			379
sWiwa	m. sg. nom.	sWA	pp.	379
vix	pft. ac. sg. 3			379
gawi	f. sg. acc.			377
vix	pr. ps. sg. 3			376
inxra	m. sg. nom.			376
yA	pr. [2] ac. sg. 3			376
arjuna	m. sg. nom.			374
iR	pr. [6] ac. sg. 1			373
vAyu	m. sg. nom.			371
rAjan	m. sg. g.			369
kva	ind.			369
karman	n. sg. nom.			368
wax	f. sg. i.			367
xevI	f. sg. voc.			363
xqS	pft. ac. sg. 3			363
wax	n. sg. loc.			360
XqwarARtra	m. sg. nom.			360
asmax	* sg. dat.			358
kAla	m. sg. nom.			354
sarvawas	ind.			352
yuRmax	* pl. g.			352
snA	abs.			352
wax	n. sg. g.			351
nu	ind.			351
parASara	m. sg. nom.			351
paScAw	ind.			349
jFA	abs.			348
vara	m. sg. acc.			348
puwra	m. sg. acc.			347
viRNu	m. sg. nom.			346
qRi	m. pl. nom.			345
mahaw	n. sg. nom.			342
rasa	m. sg. nom.			341
karman	n. sg. i.			339
sarvaSas	ind.			336
karNa	m. sg. nom.			336
brU	imp. [2] ac. sg. 2			335
anwar	ind.			334
kq	pr. [8] md. sg. 3			333
xqS	pr. ps. sg. 3			333
pANdava	m. pl. nom.			333
kila	ind.			332
asmax	* sg. loc.			332
bala	n. sg. nom.			330
Pala	n. sg. nom.			328
wax	m. du. g.			325
wri	m. pl. nom.			325
gam	pr. [1] ac. sg. 3			324
yuX	f. sg. loc.			323
kruxXa	m. sg. nom.	kruX	pp.	321
buxXi	f. sg. nom.			321
BU	f. sg. loc.			319
prAh	pft. ac. sg. 3			318
rAjan	m. sg. acc.			318
para	n. sg. acc.			316
uwa	ind.			316
kuwas	ind.			315
gawi	f. sg. nom.			314
wax	f. pl. nom.			313
jAwa	m. sg. nom.	jan	pp.	311
wax	m. pl. loc.			310
kim	m. sg. g.			310
viS	f. pl. g.			310
yA	pft. ac. sg. 3			310
ISvara	m. sg. nom.			309
ixam	f. sg. acc.			307
nqpa	m. sg. voc.			307
Kalu	ind.			306
ixam	m. pl. g.			306
kq	inf.			306
rUpa	n. sg. nom.			305
xevI	f. sg. nom.			305
han	abs.			304
vana	n. sg. loc.			304
para	m. sg. nom.			303
wapas	n. sg. nom.			301
BIma	m. sg. nom.			301
muni	m. sg. nom.			300
piwq	m. sg. g.			300
wax	m. sg. abl.			299
uBa	m. du. nom.			299
paS	imp. [4] ac. sg. 2			298
eka	m. sg. acc.			297
kq	pft. md. sg. 3			297
muhur	ind.			295
pawi	m. sg. voc.			295
kAraNa	n. sg. nom.			294
BUmi	f. sg. loc.			294
yuRmax	* sg. loc.			293
yax	n. sg. i.			292
sAkRAw	ind.			291
bahu	m. pl. nom.			289
mArkaNdeya	m. sg. nom.			289
xroNa	m. sg. nom.			287
svAhA	ind.			285
bala	n. sg. acc.			284
arh	pr. [1] ac. sg. 3			284
waxvaw	ind.			283
vIra	m. sg. nom.			283
hawa	m. sg. nom.	han	pp.	283
kqwa	m. sg. nom.	kq	pp.	282
vix	pft. ac. pl. 3			282
sahasraSas	ind.			282
sWA	pr. [1] ac. sg. 3			281
xeva	m. sg. voc.			281
guru	m. sg. nom.			279
smqwa	n. sg. nom.	smq	pp.	279
prajApawi	m. sg. nom.			279
asmax	* pl. acc.			278
anyawra	ind.			277
uwwama	n. sg. acc.			277
Ap	pr. [5] ac. sg. 3			275
kq	ca. opt. ac. sg. 3			273
raWa	m. sg. acc.			273
parama	n. sg. nom.			271
