vAyuH	2	275
Baya	1	275
kuruwe	2	274
puwram	2	274
muniH	2	273
yam	2	273
manwra	1	272
Rat	1	271
go	1	271
yukwam	2	270
rAkRasa	1	270
mA	2	270
gawim	2	269
xawwvA	2	269
xevAnAm	2	269
xivya	1	268
wejasA	2	268
prANa	1	267
paxma	1	267
ISvaram	2	266
raWam	2	266
manasA	2	266
jagAma	2	266
sUrya	1	265
wapaH	1	265
hema	1	265
qRi	1	265
samaH	2	264
weRu	2	264
SuBam	2	264
ganXarva	1	263
wrayam	2	263
jiwa	1	263
qRiH	2	263
vanam	2	262
arWe	2	261
viSva	1	261
raWaH	2	261
BIma	1	260
BavAn	2	260
rAmaH	2	260
guruH	2	259
rAjFaH	2	259
AxiBiH	2	259
kvaciw	2	258
vane	2	258
wrayaH	2	257
SreRTaH	2	256
xarSanam	2	256
yuxXam	2	256
yukwaH	2	254
puNyam	2	254
cakre	2	254
kAlam	2	253
maw	1	252
wejAH	2	251
kqwaH	2	250
wAH	2	250
kArayew	2	249
sarvaSaH	2	249
nAraxaH	2	249
sarvawaH	2	248
pANdu	1	248
wasmE	2	247
cakra	1	247
vana	1	247
mahawA	2	246
mqga	1	246
jvara	1	245
Gnam	2	245
viRNuH	2	244
jFAwvA	2	244
arXa	1	244
puwrAH	2	244
BUwvA	2	243
ganXa	1	243
xqSyawe	2	243
karNaH	2	243
vixuH	2	242
anyaH	2	242
swrI	1	242
SabxaH	2	242
anna	1	241
pura	1	241
mUla	1	241
kruxXaH	2	241
yAwi	2	241
viRNu	1	241
viSAm	2	241
alpa	1	240
anware	2	240
Goram	2	240
Xana	1	239
paSyawi	2	239
pacew	2	238
Buvi	2	238
nqpa	1	237
xuryoXanaH	2	237
Saswra	1	236
smqwam	2	236
mqwa	1	236
prajAH	2	236
mayaH	2	235
eRA	2	235
piwAmahaH	2	235
wIrWe	2	235
gawam	2	234
SreRTa	2	234
karam	2	233
vyAsaH	2	233
priya	1	232
xevi	2	232
SafKa	1	231
sawwva	1	230
xuHKam	2	230
uwwamaH	2	230
SreRTam	2	229
rawna	1	229
gacCawi	2	228
mayam	2	228
hanwi	2	227
guNAH	2	226
brAhmaNa	1	226
snAwvA	2	226
nqpa	2	226
brahmaNaH	2	225
pApam	2	225
saha	1	223
cakAra	2	223
eRAm	2	222
aWa	1	222
sahasraSaH	2	222
jAwa	1	221
sarvANi	2	221
anwara	1	220
arka	1	219
XanvanwariH	2	218
mUlam	2	217
xam	2	217
inxriya	1	216
kila	2	216
yogena	2	215
mUwra	1	215
Xanam	2	215
rAjAnam	2	215
roga	1	214
xiSaH	2	214
SUla	1	214
xevI	2	214
hariH	2	214
rasaH	2	213
hawa	1	213
pANdavAH	2	213
Sakwi	1	212
jAwaH	2	212
vAk	2	212
vrawam	2	212
wale	2	211
afga	1	211
sWam	2	211
kuwaH	2	211
marxayew	2	211
piwuH	2	211
cUrNam	2	210
haram	2	210
jaH	2	210
xroNaH	2	210
xevasya	2	209
yasmAw	2	209
laBawe	2	209
XqRta	1	209
sixXa	1	208
yuXi	2	208
siMha	1	207
varwawe	2	207
sixXi	1	206
kAmaH	2	206
sarvawra	2	206
BImaH	2	206
BAvaH	2	205
bahavaH	2	205
narAH	2	205
vIryam	2	205
brAhmaNAH	2	205
vipra	1	204
paSya	2	204
vIra	1	203
yAni	2	203
ciwra	1	203
xinam	2	203
swriyaH	2	202
amiwa	1	202
aswra	1	202
aXipa	2	202
bIjam	2	201
AxO	2	201
sWaH	2	201
BakwyA	2	201
wIrWa	1	200
gawAH	2	199
vIraH	2	199
yuXiRTira	2	199
rasam	2	198
SleRma	1	198
muKam	2	198
imam	2	198
brUhi	2	198
vixyA	1	197
gawa	1	197
mAwram	2	197
nIla	1	197
vAk	1	196
ASu	2	196
sWiwam	2	196
buxXi	1	196
sawwvam	2	195
XarmeNa	2	195
vAnara	1	195
hA	2	194
karaH	2	194
SuciH	2	194
xIrGa	1	194
yAnwi	2	194
kAlena	2	194
hawvA	2	194
anwaram	2	194
yuga	1	194
yama	1	193
